x_centroid,y_centroid,brightness
6432,534.823890967397,163588
5704,35.1452392460126,250264
5485,667.124877571009,183500
3625,4354.80517323208,224968
3326,4189.66103768967,219216
2254,2663.05307497894,267618
2214,2901.65554072096,231060
555,3643.88870111057,194392
1018,3941.88749269433,185161
1433,3616.91115583669,214893
1813,3452.73710436973,495156
3549,900.111199154781,255837
3319,1087.45744680851,295156
4028,373.331223628692,237096
3724,478.387594641817,182012
358,2033.90508806262,150432
2633,1499.13509898341,216005
2919,2043.53083491461,234726
3043,1937.75458147598,227537
1077,2656.53814713896,197849
1145,2043.44567627494,213127
2504,710.362256456729,233178
458,140.403975219411,183668
1458,577.552239747634,459983
1352,916.344972758792,246102
1086,1088.91202531646,161455
959,1303.25094577554,149837
6254,1967.42903787549,250687
4854,4180.23801613669,209883
6170,2943.15363469762,290843
5712,4303.70810514786,213107
6276,4317.54308390023,322231
4210,1978.82612872238,250419
4747,2991.26402705929,316720
5217,2117.45650048876,184356
