x_centroid,y_centroid,brightness
8984.55641302011,1949.96752282824,9014608
6513.58463240061,537.999401573094,8163328
12502.2523500467,4354.17181198789,7856032
8346.62408297763,5918.03846816213,7226800
8148.20724714186,8711.58738261277,6245344
5578.20168591535,7299.8499217288,6048512
8559.16849757806,1089.15456428695,5675008
3003.24502855202,3423.54556959694,5504496
856.453557108823,6699.02743772693,5461904
1174.86999069297,8831.97729964413,5387840
8290.57312095629,4076.50850531448,5370128
392.661784472488,9182.22402389845,5272608
5184.86555578617,8496.27837650508,5147472
5207.48961768108,8363.32587671035,5035456
3095.43764944077,4075.53967321044,4978800
1452.06393768048,510.882600259555,4939216
7076.02136125986,7780.70005136458,4879936
6024.44817833999,2505.86842223634,4759392
10013.64140523,5702.62080553718,4740016
8773.12607308298,1072.3905519037,4736032
7626.04518451817,142.440480066852,4734816
9085.84108524278,9166.2197531061,4629152
10909.5051545337,7940.566621684,4614320
5364.30475488834,7878.68338881861,4565216
787.813102027111,317.853434448791,4551728
9075.40961318655,8444.44733737418,4535168
7290.58107643388,293.804129654776,4462592
5837.38046163196,8915.69793060406,4438352
7061.78404213938,5174.76573823012,4428272
1968.95679298269,7607.14417483497,4392768
7487.21263164955,1620.0343407079,4333376
725.556149410442,3228.92299835696,4300288
8843.06852227164,6876.97154927779,4277664
8502.8927045757,5327.00090619453,4252736
3676.70604010431,4429.95406343005,4173952
11465.1524909256,7883.30957165441,4168112
2934.81334340033,4788.33024888762,4087760
9433.87685222768,1379.56734264144,4081600
1200.27446908713,8050.82288471306,4078928
2088.78208796986,2326.20305274567,4070848
6368.72209619032,551.360394247155,4069168
13031.7848676273,2180.97187203565,4061792
9051.08475891084,8658.25357083464,4051136
4972.02097105038,4196.46029440483,4038928
819.240792162171,1550.99024811442,4027040
1730.86970322492,8343.96771351771,4010784
8059.66352631325,7662.2732672736,4003952
5933.71239889614,7170.08882670335,3990272
9616.98536447009,3945.87685484113,3973360
7084.65890351743,6460.48951540576,3945296
1422.99926486693,8988.20320707249,3922192
8635.07088297155,1886.76766507335,3913008
7856.72970304045,9150.01433723858,3898464
5809.46574395198,4129.30951397854,3897568
11008.726320215,9399.51840574154,3897504
6686.16773923161,6508.37033821683,3893360
8869.94328342874,3621.18007238118,3888832
7675.03828679293,7694.90627546361,3869712
2188.6792744487,4125.82788879545,3867296
4169.12069465248,2584.86495073451,3856400
10223.1069871141,3306.05053614981,3853600
6223.1689077108,1063.49903640152,3851216
4670.3788031861,8808.11343829508,3847520
3866.79698996249,3799.00793212491,3805152
12835.393719868,6866.56246048493,3759728
2999.48848852041,7298.48703290266,3747488
728.971869772056,6586.84979607765,3736752
2705.69141472812,3625.60476379865,3670336
4301.07277208962,2621.26630232485,3665792
7136.22593290546,7462.0350885393,3660608
5496.35305946647,5796.19778444673,3653888
9523.83400378122,3851.97914302599,3630592
12313.0849466058,7485.99334172751,3615056
1505.42393647043,4972.44215397762,3599920
1123.1410920131,4065.52238411917,3578688
8090.23108642685,8209.08086499197,3568544
9004.67857985566,6150.8481392483,3568000
3723.52928021898,8944.26424557307,3563168
5926.74720194164,8814.96443073991,3562592
547.393473451758,5705.96773348086,3561344
7537.30784218211,4471.65089901208,3550720
11891.6169320515,2298.30903836403,3526608
6955.94864297692,7349.28253221496,3515040
5530.2332198648,1382.83817066365,3490992
8733.35762447261,8299.07156816447,3480784
1694.27575147578,4377.39961553187,3469264
2716.14779813462,3146.09688033907,3464208
8929.25554952184,1160.04297997937,3452656
1599.6885007196,6030.42640801877,3451504
4222.8150913952,5756.41467452575,3446816
12604.3675700941,7652.34312249111,3444688
5306.21456902375,766.67458759686,3426272
5081.31750650397,2818.63305928047,3415104
7657.67415544116,7535.95693412797,3412240
2335.36854847693,916.406739661577,3392176
6910.0850415691,8019.4598539253,3391008
7198.45593737822,6338.77178562634,3387456
9162.59449974045,2460.58607434013,3382976
11049.2406591912,6957.97722652302,3382944
6117.47711916386,1202.98720179919,3382832
1417.0731499554,6181.63505562627,3376000
10136.6571505793,4036.01929107183,3365072
4908.36997810012,6405.18981329206,3351760
9154.37810743742,2465.3609769365,3345424
2098.82922667914,7154.47327390818,3339360
1226.14135480999,1273.60707295544,3335648
10330.6284842665,3470.48380204883,3329024
5324.89735359431,9070.85950087532,3324592
11574.4583761103,2558.63953003546,3312400
2813.01933044614,615.223073272047,3289568
4897.97622579509,4030.29212281229,3285888
6396.59566392467,7644.54146734897,3255552
1473.03865821459,2768.34611130849,3249280
7660.05366653907,4251.59908863115,3242368
4928.00491866479,1136.38440665773,3230720
6592.6635406468,579.299781915331,3227104
10030.9879303848,2519.32950112189,3223648
10256.2115922727,8816.04440534254,3198656
535.153422691838,6405.8200833698,3192240
5027.91591412541,7603.99545060811,3190768
2992.3750122228,8056.76137959917,3178512
242.310276818554,6609.40154928802,3160336
8111.14047089017,378.683676675722,3153168
9193.25903044761,3365.2477506396,3151472
4543.95462903502,914.133032245963,3137968
10240.5226100588,7899.69362825018,3135776
8692.08233217552,5201.00163983524,3123440
7279.04765037137,2507.31564578344,3122144
6131.44082768623,1284.35848560519,3118608
